"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Onderwerpen_4";"Energiedragers";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Chemie en farmaceutische industrie";"PJ";"300.6";"0.2";"59.5";"84.1";"0.0";"42.7";"111.6";"308.4";"0.6";"65.3";"86.0";"0.0";"43.6";"110.4";"294.6";"0.9";"62.9";"75.0";"0.0";"43.1";"110.0";"294.6";"1.0";"61.2";"74.6";"0.0";"43.3";"111.9";"306.5";"1.3";"70.9";"67.9";"0.0";"41.9";"122.4";"295.7";"0.1";"66.0";"67.7";"0.0";"42.0";"118.6";"297.6";"-";"73.9";"62.0";"0.0";"42.0";"118.5";"316.0";"-";"88.9";"61.2";"0.0";"43.9";"120.1";"326.3";"-";"96.1";"61.4";"0.0";"44.0";"123.2";"332.1";"-";"90.3";"64.9";"0.1";"44.6";"130.6";"326.5";"-";"82.4";"65.5";"0.1";"45.5";"131.3";"315.0";"-";"99.8";"61.5";"0.1";"46.3";"105.6";"320.7";"-";"107.4";"60.2";"0.1";"47.4";"104.1";"299.6";"-";"94.0";"58.2";"0.4";"45.1";"100.3";"282.3";"-";"91.8";"55.5";"0.4";"44.4";"88.8";"301.7";"-";"99.2";"63.3";"0.2";"47.6";"90.3";"293.4";"-";"91.2";"64.7";"0.1";"46.8";"89.8";"290.8";"-";"96.5";"60.9";"0.1";"44.3";"88.0";"285.2";"-";"87.7";"65.0";"0.1";"44.6";"86.9";"281.8";"-";"91.0";"61.9";"0.3";"43.3";"83.8"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Non-ferrometalenindustrie";"PJ";"22.2";"-";"0.0";"3.9";"0.2";"16.6";"0.3";"22.5";"0.0";"0.0";"3.6";"0.1";"17.3";"0.5";"23.3";"0.0";"0.0";"3.9";"0.2";"17.7";"0.3";"25.2";"-";"0.0";"3.7";"0.2";"19.7";"0.4";"25.6";"-";"0.0";"3.4";"0.1";"20.5";"0.3";"27.0";"-";"0.3";"3.6";"0.1";"21.4";"0.2";"25.6";"-";"0.0";"3.4";"-";"20.9";"0.3";"25.6";"-";"0.0";"3.6";"-";"20.7";"0.1";"25.9";"-";"0.0";"3.5";"-";"21.0";"0.0";"28.4";"-";"0.0";"4.1";"-";"22.8";"-";"28.5";"-";"0.0";"4.0";"-";"22.8";"-";"25.8";"-";"0.0";"3.8";"-";"20.6";"-";"27.3";"-";"-";"4.4";"-";"21.6";"-";"28.6";"-";"-";"4.3";"-";"23.0";"-";"18.1";"-";"-";"3.1";"-";"13.8";"0.0";"22.1";"-";"-";"3.6";"-";"17.2";"0.0";"26.5";"-";"0.0";"3.3";"-";"22.0";"0.0";"14.0";"-";"0.0";"2.7";"-";"10.0";"0.3";"14.3";"-";"0.1";"2.7";"-";"10.2";"0.0";"9.4";"-";"0.0";"2.2";"-";"5.9";"0.0"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Bouwmaterialenindustrie";"PJ";"33.6";"2.1";"3.2";"22.8";"-";"4.9";"0.5";"35.6";"1.9";"3.0";"25.0";"0.0";"5.2";"0.4";"36.2";"2.1";"1.6";"26.1";"0.1";"5.6";"0.6";"34.7";"1.9";"2.0";"24.5";"0.1";"5.4";"0.7";"35.4";"2.3";"1.7";"24.8";"0.2";"5.6";"0.7";"36.2";"2.3";"1.4";"25.4";"0.3";"6.1";"0.7";"35.5";"2.4";"1.3";"25.0";"0.3";"5.8";"0.7";"31.3";"1.6";"0.7";"22.1";"0.6";"5.6";"0.7";"31.3";"1.5";"0.8";"22.1";"0.9";"5.3";"0.6";"31.5";"1.5";"0.7";"22.3";"1.2";"5.1";"0.6";"31.9";"1.5";"0.8";"22.7";"1.3";"5.2";"0.5";"32.0";"1.3";"1.1";"22.4";"1.4";"5.2";"0.6";"33.6";"1.9";"1.1";"23.3";"1.3";"5.4";"0.5";"33.3";"1.6";"1.3";"23.0";"1.2";"5.6";"0.5";"30.2";"1.4";"1.0";"20.8";"1.2";"5.2";"0.4";"31.1";"1.5";"1.0";"22.2";"1.0";"5.2";"0.3";"27.6";"1.4";"1.0";"19.2";"1.0";"4.6";"0.3";"25.5";"1.4";"0.8";"17.7";"0.9";"4.4";"0.3";"23.7";"1.2";"0.5";"16.5";"0.8";"4.4";"0.3";"23.8";"1.4";"0.5";"16.7";"0.8";"4.2";"0.2"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Transportmiddelenindustrie";"PJ";"5.6";"-";"0.3";"3.2";"-";"2.1";"-";"5.7";"-";"0.3";"3.2";"-";"2.2";"-";"5.9";"-";"0.5";"3.0";"-";"2.4";"-";"5.7";"-";"0.4";"3.0";"-";"2.3";"0.0";"5.4";"-";"0.3";"2.8";"-";"2.3";"0.0";"5.6";"-";"0.3";"2.9";"-";"2.3";"0.0";"5.7";"-";"0.3";"3.2";"-";"2.3";"0.0";"5.9";"-";"0.2";"3.1";"-";"2.5";"0.0";"5.7";"-";"0.3";"2.9";"-";"2.4";"0.1";"5.4";"-";"0.2";"2.8";"-";"2.3";"0.1";"5.0";"-";"0.2";"2.6";"-";"2.1";"0.1";"4.6";"-";"0.2";"2.2";"-";"2.1";"0.1";"4.6";"-";"0.2";"2.1";"-";"2.2";"0.1";"5.4";"-";"0.3";"2.5";"-";"2.5";"0.2";"5.5";"-";"0.3";"2.5";"-";"2.6";"0.1";"5.6";"-";"0.2";"2.8";"-";"2.6";"0.0";"4.0";"-";"0.0";"1.8";"-";"2.1";"0.0";"3.9";"-";"0.0";"2.0";"-";"1.9";"0.0";"4.2";"-";"0.2";"2.0";"-";"2.0";"0.0";"4.3";"-";"0.2";"2.1";"-";"2.0";"0.0"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Metaalproducten en machine-industrie";"PJ";"27.9";"-";"0.5";"15.8";"-";"10.9";"0.7";"29.4";"-";"0.5";"16.8";"-";"11.2";"0.9";"29.0";"-";"0.4";"16.4";"-";"11.7";"0.6";"29.5";"-";"0.3";"16.8";"-";"11.9";"0.5";"32.3";"0.0";"0.4";"17.4";"-";"14.1";"0.5";"29.9";"-";"0.4";"16.2";"-";"12.8";"0.5";"29.6";"-";"0.3";"16.1";"-";"12.7";"0.5";"29.6";"-";"0.3";"15.6";"-";"13.1";"0.5";"27.4";"-";"0.2";"14.4";"-";"12.1";"0.6";"27.5";"-";"0.3";"14.1";"-";"12.4";"0.6";"28.0";"-";"0.3";"14.1";"-";"12.9";"0.8";"26.9";"-";"0.2";"13.2";"-";"12.7";"0.7";"24.8";"-";"0.3";"12.5";"-";"11.8";"0.3";"25.6";"-";"0.3";"12.3";"-";"12.8";"0.3";"27.1";"-";"0.3";"14.0";"-";"12.5";"0.4";"27.4";"-";"0.3";"14.5";"-";"12.3";"0.3";"21.6";"-";"0.2";"11.0";"-";"10.3";"0.1";"22.5";"-";"0.4";"11.8";"-";"10.3";"0.1";"21.5";"-";"0.3";"11.5";"-";"9.7";"0.1";"20.7";"-";"0.4";"10.0";"-";"10.3";"0.1"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Delfstoffenwinning (geen olie en gas)";"PJ";"2.0";"0.1";"1.1";"0.5";"-";"0.3";"-";"2.0";"0.1";"1.1";"0.5";"-";"0.3";"-";"4.3";"0.1";"1.1";"0.6";"-";"0.6";"2.0";"6.7";"0.1";"1.1";"2.7";"-";"0.9";"2.1";"7.1";"0.1";"1.4";"2.9";"-";"1.0";"1.7";"6.2";"0.1";"1.1";"2.5";"-";"0.8";"1.7";"5.1";"0.1";"0.2";"2.8";"-";"0.7";"1.3";"5.7";"0.2";"1.1";"3.0";"-";"0.7";"0.7";"7.1";"0.2";"1.4";"2.9";"-";"0.8";"1.9";"7.2";"0.1";"1.8";"2.9";"-";"0.7";"1.7";"5.6";"0.1";"0.9";"2.3";"-";"0.7";"1.6";"6.1";"0.1";"0.6";"2.5";"-";"1.0";"1.8";"5.7";"0.1";"0.6";"2.6";"-";"0.9";"1.5";"9.2";"0.1";"0.3";"2.1";"-";"1.2";"5.4";"3.3";"0.1";"0.2";"1.3";"-";"0.5";"1.2";"9.8";"0.2";"0.2";"2.4";"-";"1.6";"5.4";"5.8";"0.2";"0.2";"2.5";"-";"0.9";"2.1";"6.2";"0.2";"0.3";"2.1";"-";"0.9";"2.7";"5.9";"0.2";"0.3";"1.8";"-";"0.9";"2.7";"3.8";"0.2";"0.3";"2.0";"-";"0.7";"0.6"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Voedings- en genotmiddelenindustrie";"PJ";"88.5";"1.2";"1.6";"44.1";"0.6";"20.6";"20.4";"97.4";"0.8";"1.4";"47.1";"0.6";"22.9";"24.6";"92.9";"1.2";"1.0";"45.0";"0.5";"22.7";"22.6";"94.2";"1.1";"1.1";"45.7";"0.5";"23.0";"22.9";"98.6";"0.9";"1.5";"49.3";"0.4";"22.8";"23.6";"94.4";"1.1";"0.7";"44.0";"0.4";"22.9";"25.3";"92.5";"1.1";"0.8";"40.8";"0.4";"24.5";"24.7";"93.6";"1.1";"0.3";"43.6";"0.4";"24.1";"24.1";"91.3";"0.8";"0.4";"42.7";"0.5";"23.7";"23.1";"89.2";"0.5";"0.3";"40.9";"0.8";"23.5";"23.1";"88.2";"0.6";"0.7";"40.2";"0.8";"23.6";"22.1";"87.6";"1.0";"0.9";"40.0";"1.0";"24.8";"19.9";"86.8";"1.8";"0.7";"37.9";"1.2";"25.9";"19.3";"83.1";"1.2";"0.2";"36.6";"1.0";"24.6";"19.5";"72.0";"1.1";"0.1";"30.7";"1.2";"22.0";"17.0";"75.4";"1.0";"0.2";"33.6";"0.7";"22.9";"16.9";"79.4";"0.9";"0.1";"36.6";"0.5";"23.1";"18.1";"77.4";"1.1";"0.4";"36.5";"0.5";"22.7";"16.1";"76.4";"0.8";"0.1";"35.5";"0.7";"22.3";"17.0";"81.8";"1.0";"0.2";"39.8";"0.6";"22.8";"17.3"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Papier- en grafische industrie";"PJ";"36.1";"-";"0.1";"9.3";"0.1";"11.6";"15.1";"39.0";"-";"0.1";"10.4";"0.1";"11.8";"16.6";"40.5";"-";"0.1";"11.2";"0.1";"12.8";"16.3";"39.9";"-";"0.1";"11.0";"0.1";"12.9";"15.8";"39.9";"-";"0.0";"10.4";"0.1";"13.2";"16.1";"40.5";"-";"0.1";"10.3";"0.1";"13.7";"16.3";"38.3";"-";"0.1";"9.2";"0.1";"13.0";"15.8";"39.7";"-";"0.1";"10.4";"0.1";"13.7";"15.5";"38.6";"-";"0.0";"10.1";"0.1";"13.3";"15.1";"39.4";"-";"0.0";"10.0";"0.2";"13.3";"16.0";"38.5";"-";"0.0";"9.8";"0.1";"13.1";"15.4";"37.9";"-";"0.0";"9.0";"0.1";"13.2";"15.5";"36.8";"-";"0.0";"9.5";"0.1";"13.3";"13.8";"34.5";"-";"0.0";"8.1";"0.1";"13.0";"13.1";"28.2";"-";"0.0";"7.1";"0.2";"9.8";"11.2";"29.5";"-";"0.0";"7.8";"0.2";"9.7";"11.9";"27.4";"-";"0.0";"6.6";"0.2";"9.0";"11.6";"27.5";"-";"0.0";"6.8";"0.2";"9.0";"11.5";"27.4";"-";"0.0";"6.2";"0.2";"9.2";"11.9";"24.3";"-";"0.0";"6.4";"0.2";"8.3";"9.4"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Houtindustrie";"PJ";"3.9";"-";"0.0";"0.6";"2.2";"1.1";"0.1";"3.9";"-";"0.0";"0.7";"2.2";"0.9";"0.0";"3.9";"-";"0.0";"0.6";"2.3";"0.9";"0.1";"4.2";"-";"0.0";"0.7";"2.2";"1.1";"0.1";"4.2";"-";"0.1";"0.8";"2.1";"1.1";"0.0";"4.6";"-";"0.1";"1.5";"2.0";"1.0";"0.0";"3.5";"-";"0.0";"0.6";"1.9";"0.9";"0.0";"3.5";"-";"0.0";"0.7";"1.8";"0.9";"0.0";"3.3";"-";"0.0";"0.7";"1.7";"0.8";"0.0";"3.1";"-";"0.0";"0.6";"1.6";"0.7";"0.0";"3.3";"-";"0.0";"0.7";"1.7";"0.9";"0.0";"3.0";"-";"0.0";"0.6";"1.4";"0.9";"0.0";"3.2";"-";"0.0";"0.5";"1.6";"1.0";"0.1";"3.1";"-";"0.0";"0.6";"1.4";"1.0";"0.1";"3.3";"-";"0.0";"0.9";"1.4";"1.0";"0.0";"3.1";"-";"0.0";"0.8";"1.3";"0.9";"0.1";"2.7";"-";"0.1";"1.0";"0.9";"0.8";"0.1";"2.7";"-";"0.0";"0.9";"0.9";"0.9";"0.0";"2.4";"-";"0.0";"0.8";"0.9";"0.6";"0.1";"2.8";"-";"0.0";"1.0";"1.0";"0.7";"0.1"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Bouwnijverheid";"PJ";"24.3";"-";"16.1";"4.8";"-";"3.3";"-";"27.9";"-";"18.6";"5.9";"-";"3.4";"-";"27.1";"-";"18.5";"5.1";"-";"3.5";"-";"27.3";"-";"18.8";"5.0";"-";"3.5";"-";"27.0";"-";"18.5";"4.8";"-";"3.6";"-";"26.3";"-";"17.7";"4.9";"-";"3.7";"-";"27.2";"-";"18.1";"5.4";"-";"3.7";"-";"25.7";"-";"16.9";"5.1";"-";"3.7";"-";"25.1";"-";"16.3";"5.2";"0.0";"3.6";"0.0";"25.3";"-";"16.7";"5.0";"-";"3.5";"-";"25.0";"-";"16.7";"4.8";"-";"3.5";"-";"25.4";"-";"17.1";"4.7";"-";"3.5";"-";"25.7";"-";"17.4";"4.6";"-";"3.6";"-";"27.2";"-";"18.4";"5.2";"-";"3.7";"-";"26.8";"-";"18.0";"5.1";"-";"3.7";"-";"24.5";"-";"15.3";"5.5";"-";"3.6";"-";"24.4";"-";"16.5";"4.5";"0.1";"3.4";"0.0";"24.0";"0.0";"15.6";"5.0";"0.1";"3.2";"0.0";"26.1";"0.0";"17.5";"5.1";"0.1";"3.4";"0.0";"25.5";"0.1";"18.2";"4.1";"0.1";"3.1";"-"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Textiel-, kleding- en lederindustrie";"PJ";"9.0";"0.0";"0.0";"6.2";"-";"2.1";"0.6";"8.2";"0.0";"0.0";"5.7";"-";"2.0";"0.5";"9.3";"0.0";"0.0";"6.5";"-";"2.3";"0.6";"9.9";"0.0";"0.0";"6.7";"-";"2.3";"0.8";"8.1";"0.0";"0.1";"5.2";"-";"2.0";"0.8";"8.3";"0.0";"0.1";"5.8";"-";"2.0";"0.3";"7.8";"0.0";"0.1";"4.6";"-";"1.9";"1.1";"7.5";"0.1";"0.1";"4.4";"-";"2.1";"0.9";"7.0";"0.0";"0.0";"4.5";"-";"2.0";"0.4";"6.2";"0.0";"0.0";"4.1";"-";"1.8";"0.3";"5.1";"0.1";"0.0";"3.3";"-";"1.5";"0.4";"4.7";"0.0";"0.0";"2.9";"-";"1.4";"0.4";"4.8";"-";"0.0";"3.1";"-";"1.4";"0.3";"4.6";"-";"0.0";"3.0";"-";"1.3";"0.3";"4.3";"-";"0.0";"2.8";"-";"1.2";"0.3";"4.8";"-";"0.0";"2.8";"-";"1.4";"0.6";"4.2";"-";"0.0";"2.3";"-";"1.3";"0.6";"4.2";"-";"0.0";"2.5";"-";"1.3";"0.5";"4.3";"-";"0.0";"2.5";"-";"1.4";"0.4";"3.7";"-";"0.0";"2.2";"-";"1.2";"0.3"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Onbekend";"PJ";"13.0";"0.1";"0.3";"6.1";"-";"6.3";"0.0";"13.6";"0.0";"0.4";"6.5";"-";"6.6";"0.1";"13.5";"0.2";"0.2";"5.7";"-";"7.0";"0.5";"13.1";"0.1";"0.2";"5.6";"-";"6.7";"0.4";"14.0";"0.1";"0.2";"5.8";"-";"7.4";"0.5";"13.8";"0.2";"0.2";"5.8";"-";"7.3";"0.4";"15.2";"0.2";"0.1";"6.0";"-";"8.4";"0.5";"15.2";"0.2";"0.1";"5.8";"-";"8.5";"0.6";"14.2";"0.3";"0.1";"5.4";"-";"7.8";"0.6";"15.0";"0.2";"0.1";"5.9";"-";"8.3";"0.5";"14.8";"0.3";"0.1";"5.8";"-";"8.2";"0.4";"14.7";"0.3";"0.0";"5.6";"-";"8.2";"0.5";"14.2";"0.9";"0.0";"5.1";"-";"7.8";"0.4";"14.8";"1.1";"0.0";"5.4";"-";"7.8";"0.4";"11.8";"1.3";"0.0";"3.6";"-";"6.5";"0.3";"12.2";"1.4";"0.0";"3.8";"-";"6.7";"0.3";"13.9";"1.4";"0.0";"4.9";"0.3";"6.9";"0.3";"13.9";"1.3";"0.0";"4.8";"0.3";"7.1";"0.3";"13.4";"0.8";"0.0";"5.3";"0.3";"6.9";"0.1";"12.7";"0.4";"0.1";"4.9";"0.3";"6.9";"0.0"
"Finaal verbruik";"Finaal energieverbruik";"Vervoer";"Totaal";"PJ";"421.1";"-";"415.8";"0.0";"-";"5.4";"-";"438.8";"-";"433.1";"0.0";"-";"5.7";"-";"438.4";"-";"432.8";"0.0";"-";"5.7";"-";"448.3";"-";"442.4";"0.0";"-";"5.9";"-";"455.3";"-";"449.4";"0.0";"-";"5.9";"-";"454.6";"-";"448.7";"0.0";"-";"5.9";"-";"458.1";"-";"452.4";"0.0";"-";"5.7";"-";"468.3";"-";"462.7";"0.0";"-";"5.6";"-";"475.2";"-";"469.4";"0.0";"-";"5.7";"-";"482.5";"-";"476.5";"0.0";"-";"6.0";"-";"485.2";"-";"479.4";"0.0";"-";"5.8";"-";"499.6";"-";"493.7";"0.1";"-";"5.8";"-";"504.4";"-";"498.6";"0.1";"-";"5.7";"-";"507.6";"-";"501.6";"0.1";"-";"5.8";"-";"492.1";"-";"485.8";"0.3";"-";"6.0";"-";"493.6";"-";"486.9";"0.4";"-";"6.3";"-";"499.6";"-";"492.6";"0.7";"-";"6.3";"-";"478.5";"-";"471.1";"1.0";"-";"6.3";"-";"465.7";"-";"458.3";"1.1";"-";"6.3";"-";"436.2";"-";"428.8";"1.3";"-";"6.2";"-"
"Finaal verbruik";"Finaal energieverbruik";"Vervoer";"Binnenlandse luchtvaart";"PJ";"1.1";"-";"1.1";"-";"-";"-";"-";"1.2";"-";"1.2";"-";"-";"-";"-";"1.1";"-";"1.1";"-";"-";"-";"-";"1.0";"-";"1.0";"-";"-";"-";"-";"0.8";"-";"0.8";"-";"-";"-";"-";"0.8";"-";"0.8";"-";"-";"-";"-";"0.7";"-";"0.7";"-";"-";"-";"-";"0.7";"-";"0.7";"-";"-";"-";"-";"0.7";"-";"0.7";"-";"-";"-";"-";"0.6";"-";"0.6";"-";"-";"-";"-";"0.6";"-";"0.6";"-";"-";"-";"-";"0.5";"-";"0.5";"-";"-";"-";"-";"0.6";"-";"0.6";"-";"-";"-";"-";"0.6";"-";"0.6";"-";"-";"-";"-";"0.5";"-";"0.5";"-";"-";"-";"-";"0.6";"-";"0.6";"-";"-";"-";"-";"0.6";"-";"0.6";"-";"-";"-";"-";"0.6";"-";"0.6";"-";"-";"-";"-";"0.6";"-";"0.6";"-";"-";"-";"-";"0.5";"-";"0.5";"-";"-";"-";"-"
"Finaal verbruik";"Finaal energieverbruik";"Vervoer";"Wegverkeer";"PJ";"403.6";"-";"403.6";"0.0";"-";"0.0";"-";"420.5";"-";"420.4";"0.0";"-";"0.0";"-";"420.6";"-";"420.6";"0.0";"-";"0.0";"-";"430.5";"-";"430.5";"0.0";"-";"0.0";"-";"437.2";"-";"437.2";"0.0";"-";"0.0";"-";"436.2";"-";"436.2";"0.0";"-";"0.0";"-";"439.7";"-";"439.7";"0.0";"-";"0.0";"-";"449.7";"-";"449.7";"0.0";"-";"0.0";"-";"457.1";"-";"457.0";"0.0";"-";"0.0";"-";"464.1";"-";"464.1";"0.0";"-";"0.0";"-";"466.1";"-";"466.1";"0.0";"-";"0.0";"-";"480.0";"-";"479.9";"0.1";"-";"0.0";"-";"483.9";"-";"483.8";"0.1";"-";"0.0";"-";"486.6";"-";"486.5";"0.1";"-";"0.0";"-";"471.0";"-";"470.7";"0.3";"-";"0.0";"-";"470.4";"-";"470.0";"0.4";"-";"0.0";"-";"476.2";"-";"475.5";"0.7";"-";"0.0";"-";"456.6";"-";"455.5";"1.0";"-";"0.1";"-";"443.1";"-";"441.9";"1.1";"-";"0.1";"-";"415.8";"-";"414.2";"1.3";"-";"0.3";"-"
"Finaal verbruik";"Finaal energieverbruik";"Vervoer";"Railverkeer";"PJ";"6.6";"-";"1.3";"-";"-";"5.3";"-";"7.0";"-";"1.3";"-";"-";"5.6";"-";"7.1";"-";"1.4";"-";"-";"5.7";"-";"7.3";"-";"1.4";"-";"-";"5.9";"-";"7.2";"-";"1.3";"-";"-";"5.9";"-";"7.4";"-";"1.5";"-";"-";"5.9";"-";"7.2";"-";"1.5";"-";"-";"5.7";"-";"7.0";"-";"1.4";"-";"-";"5.6";"-";"7.1";"-";"1.4";"-";"-";"5.7";"-";"7.4";"-";"1.5";"-";"-";"5.9";"-";"7.2";"-";"1.4";"-";"-";"5.8";"-";"7.2";"-";"1.4";"-";"-";"5.8";"-";"7.1";"-";"1.4";"-";"-";"5.7";"-";"7.2";"-";"1.4";"-";"-";"5.8";"-";"7.3";"-";"1.3";"-";"-";"6.0";"-";"7.7";"-";"1.4";"-";"-";"6.3";"-";"7.6";"-";"1.4";"-";"-";"6.2";"-";"7.4";"-";"1.1";"-";"-";"6.3";"-";"7.3";"-";"1.1";"-";"-";"6.2";"-";"7.1";"-";"1.2";"-";"-";"5.9";"-"
"Finaal verbruik";"Finaal energieverbruik";"Vervoer";"Pijpleidingen";"PJ";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Finaal verbruik";"Finaal energieverbruik";"Vervoer";"Binnenlandse scheepvaart";"PJ";"9.8";"-";"9.8";"-";"-";"-";"-";"10.2";"-";"10.2";"-";"-";"-";"-";"9.6";"-";"9.6";"-";"-";"-";"-";"9.5";"-";"9.5";"-";"-";"-";"-";"10.1";"-";"10.1";"-";"-";"-";"-";"10.1";"-";"10.1";"-";"-";"-";"-";"10.5";"-";"10.5";"-";"-";"-";"-";"10.9";"-";"10.9";"-";"-";"-";"-";"10.3";"-";"10.3";"-";"-";"-";"-";"10.4";"-";"10.4";"-";"-";"-";"-";"11.3";"-";"11.3";"-";"-";"-";"-";"11.8";"-";"11.8";"-";"-";"-";"-";"12.8";"-";"12.8";"-";"-";"-";"-";"13.1";"-";"13.1";"-";"-";"-";"-";"13.3";"-";"13.3";"-";"-";"-";"-";"14.9";"-";"14.9";"-";"-";"-";"-";"15.1";"-";"15.1";"-";"-";"-";"-";"13.9";"-";"13.9";"-";"-";"-";"-";"14.8";"-";"14.8";"-";"-";"-";"-";"12.9";"-";"12.9";"-";"-";"-";"-"
