"Energieverbruik particuliere woningen; woningtype en regio's"
"";"";"Onderwerpen";"Gemiddeld aardgasverbruik";"Gemiddeld elektriciteitsverbruik";"Stadsverwarming"
"Woningkenmerken";"Regio's";"Perioden";"m3";"kWh";"%"
"Hoekwoning";"Noord-Nederland (LD)";"2013";"1950";"2950";" "
"Hoekwoning";"Noord-Nederland (LD)";"2014*";"1450";"2850";" "
"Hoekwoning";"Overijssel (PV)";"2010";"2050";"3400";" "
"Hoekwoning";"Overijssel (PV)";"2011";"1650";"3400";" "
"Hoekwoning";"Overijssel (PV)";"2012";"1750";"3400";" "
"Hoekwoning";"Overijssel (PV)";"2013";"1900";"3350";" "
"Hoekwoning";"Overijssel (PV)";"2014*";"1350";"3250";" "
"Hoekwoning";"Utrecht (PV)";"2010";"2000";"3750";" "
"Hoekwoning";"Utrecht (PV)";"2011";"1550";"3700";" "
"Hoekwoning";"Utrecht (PV)";"2012";"1600";"3600";" "
"Hoekwoning";"Utrecht (PV)";"2013";"1750";"3600";" "
"Hoekwoning";"Utrecht (PV)";"2014*";"1300";"3450";" "
"Hoekwoning";"Noord-Holland (PV)";"2010";"2050";"3550";" "
"Hoekwoning";"Noord-Holland (PV)";"2011";"1600";"3550";" "
"Hoekwoning";"Noord-Holland (PV)";"2012";"1700";"3500";" "
"Hoekwoning";"Noord-Holland (PV)";"2013";"1850";"3450";" "
"Hoekwoning";"Noord-Holland (PV)";"2014*";"1400";"3350";" "
"Hoekwoning";"Zuid-Holland (PV)";"2010";"2000";"3700";" "
"Hoekwoning";"Zuid-Holland (PV)";"2011";"1550";"3650";" "
"Hoekwoning";"Zuid-Holland (PV)";"2012";"1600";"3600";" "
"Hoekwoning";"Zuid-Holland (PV)";"2013";"1800";"3600";" "
"Hoekwoning";"Zuid-Holland (PV)";"2014*";"1300";"3450";" "
"Hoekwoning";"Noord-Brabant (PV)";"2010";"1950";"3600";" "
"Hoekwoning";"Noord-Brabant (PV)";"2011";"1500";"3550";" "
"Hoekwoning";"Noord-Brabant (PV)";"2012";"1600";"3550";" "
"Hoekwoning";"Noord-Brabant (PV)";"2013";"1750";"3550";" "
"Hoekwoning";"Noord-Brabant (PV)";"2014*";"1300";"3400";" "
"Hoekwoning";"Achtkarspelen";"2010";"2150";"2700";" "
"Hoekwoning";"Achtkarspelen";"2011";"1700";"2750";" "
"Hoekwoning";"Achtkarspelen";"2012";"1800";"2700";" "
"Hoekwoning";"Achtkarspelen";"2013";"1950";"2700";" "
"Hoekwoning";"Achtkarspelen";"2014*";"1450";"2550";" "
"Hoekwoning";"Amsterdam";"2010";"1750";"3300";" "
"Hoekwoning";"Amsterdam";"2011";"1400";"3250";" "
"Hoekwoning";"Amsterdam";"2012";"1400";"3200";" "
"Hoekwoning";"Amsterdam";"2013";"1550";"3150";" "
"Hoekwoning";"Amsterdam";"2014*";"1200";"3000";" "
"Hoekwoning";"Borne";"2010";"2150";"3700";" "
"Hoekwoning";"Borne";"2011";"1750";"3650";" "
"Hoekwoning";"Borne";"2012";"1900";"3600";" "
"Hoekwoning";"Borne";"2013";"2050";"3550";" "
"Hoekwoning";"Borne";"2014*";"1250";"3400";" "
"Hoekwoning";"'s-Gravenhage (gemeente)";"2010";"1800";"3750";" "
"Hoekwoning";"'s-Gravenhage (gemeente)";"2011";"1400";"3750";" "
"Hoekwoning";"'s-Gravenhage (gemeente)";"2012";"1500";"3700";" "
"Hoekwoning";"'s-Gravenhage (gemeente)";"2013";"1650";"3900";" "
"Hoekwoning";"'s-Gravenhage (gemeente)";"2014*";"1250";"3800";" "
"Hoekwoning";"Leidschendam-Voorburg";"2010";"2450";"3900";" "
"Hoekwoning";"Leidschendam-Voorburg";"2011";"1900";"3850";" "
"Hoekwoning";"Leidschendam-Voorburg";"2012";"2000";"3800";" "
"Hoekwoning";"Leidschendam-Voorburg";"2013";"2200";"3850";" "
"Hoekwoning";"Leidschendam-Voorburg";"2014*";"1650";"3700";" "
"Hoekwoning";"Rotterdam";"2010";"1800";"3550";" "
"Hoekwoning";"Rotterdam";"2011";"1400";"3500";" "
"Hoekwoning";"Rotterdam";"2012";"1450";"3400";" "
"Hoekwoning";"Rotterdam";"2013";"1650";"3500";" "
"Hoekwoning";"Rotterdam";"2014*";"1200";"3400";" "
"Hoekwoning";"Utrecht (gemeente)";"2010";"1750";"3400";" "
"Hoekwoning";"Utrecht (gemeente)";"2011";"1350";"3350";" "
